"CÓD. 
DEP.","DEPARTAMENTO","CÓD. MUN.","MUNICIPIO","GRUPO 
DE CULTIVO","SUBGRUPO 
DE CULTIVO","CULTIVO","DESAGREGACIÓN REGIONAL Y/O SISTEMA PRODUCTIVO","AÑO","PERIODO","Área Sembrada
(ha)","Área Cosechada
(ha)","Producción
(t)","Rendimiento
(t/ha)","ESTADO FISICO PRODUCCION","NOMBRE 
CIENTIFICO","CICLO DE CULTIVO"
"73","TOLIMA","73.268","ESPINAL","FIBRAS","ALGODON","ALGODON","ALGODON","2.007","2007A","5.164","5.164","12.939","2,51","SEMILLA","GOSSYPIUM HIRSTIUM","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","FIBRAS","ALGODON","ALGODON","ALGODON","2.008","2008A","3.899","3.899","10.573","2,71","SEMILLA","GOSSYPIUM HIRSTIUM","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","FIBRAS","ALGODON","ALGODON","ALGODON","2.009","2009A","2.182","2.045","6.350","3,11","SEMILLA","GOSSYPIUM HIRSTIUM","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","FIBRAS","ALGODON","ALGODON","ALGODON","2.010","2010A","4.017","3.920","10.123","2,58","SEMILLA","GOSSYPIUM HIRSTIUM","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","FIBRAS","ALGODON","ALGODON","ALGODON","2.011","2011A","3.188","3.188","9.833","3,08","SEMILLA","GOSSYPIUM HIRSTIUM","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","FIBRAS","ALGODON","ALGODON","ALGODON","2.012","2012A","1.648","1.639","3.297","2,01","SEMILLA","GOSSYPIUM HIRSTIUM","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","FIBRAS","ALGODON","ALGODON","ALGODON","2.013","2013A","2.739","2.739","7.610","2,78","SEMILLA","GOSSYPIUM HIRSTIUM","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","FIBRAS","ALGODON","ALGODON","ALGODON","2.014","2014A","2.510","2.510","7.530","3","SEMILLA","GOSSYPIUM HIRSTIUM","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","FIBRAS","ALGODON","ALGODON","ALGODON","2.015","2015A","2.150","2.150","5.717","2,66","SEMILLA","GOSSYPIUM HIRSTIUM","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","FIBRAS","ALGODON","ALGODON","ALGODON","2.016","2016A","1.312","1.312","3.279","2,5","SEMILLA","GOSSYPIUM HIRSTIUM","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","FIBRAS","ALGODON","ALGODON","ALGODON","2.017","2017A","2.467","2.467","6.684","2,71","SEMILLA","GOSSYPIUM HIRSTIUM","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","FIBRAS","ALGODON","ALGODON","ALGODON","2.018","2018A","2.411","2.411","7.129","2,96","SEMILLA","GOSSYPIUM HIRSTIUM","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","CEREALES","ARROZ","ARROZ","ARROZ RIEGO","2.006","2006B","4.254","4.254","33.720","7,93","PADDY VERDE","ORYZA SATIVA","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","CEREALES","ARROZ","ARROZ","ARROZ RIEGO","2.007","2007A","4.885","4.885","41.958","8,59","PADDY VERDE","ORYZA SATIVA","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","CEREALES","ARROZ","ARROZ","ARROZ RIEGO","2.007","2007B","7.400","7.400","59.820","8,08","PADDY VERDE","ORYZA SATIVA","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","CEREALES","ARROZ","ARROZ","ARROZ RIEGO","2.008","2008A","6.500","6.500","50.160","7,72","PADDY VERDE","ORYZA SATIVA","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","CEREALES","ARROZ","ARROZ","ARROZ RIEGO","2.008","2008B","7.400","7.400","59.820","8,08","PADDY VERDE","ORYZA SATIVA","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","CEREALES","ARROZ","ARROZ","ARROZ RIEGO","2.009","2009A","8.934","8.934","67.005","7,5","PADDY VERDE","ORYZA SATIVA","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","CEREALES","ARROZ","ARROZ","ARROZ RIEGO","2.009","2009B","5.353","5.323","35.264","6,62","PADDY VERDE","ORYZA SATIVA","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","CEREALES","ARROZ","ARROZ","ARROZ RIEGO","2.010","2010A","7.600","7.600","38.000","5","PADDY VERDE","ORYZA SATIVA","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","CEREALES","ARROZ","ARROZ","ARROZ RIEGO","2.010","2010B","7.600","7.600","47.307","6,22","PADDY VERDE","ORYZA SATIVA","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","CEREALES","ARROZ","ARROZ","ARROZ RIEGO","2.011","2011A","5.300","5.300","33.308","6,28","PADDY VERDE","ORYZA SATIVA","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","CEREALES","ARROZ","ARROZ","ARROZ RIEGO","2.011","2011B","7.000","7.000","46.561","6,65","PADDY VERDE","ORYZA SATIVA","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","CEREALES","ARROZ","ARROZ","ARROZ RIEGO","2.012","2012A","5.690","5.690","39.261","6,9","PADDY VERDE","ORYZA SATIVA","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","CEREALES","ARROZ","ARROZ","ARROZ RIEGO","2.012","2012B","6.560","6.560","39.360","6","PADDY VERDE","ORYZA SATIVA","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","CEREALES","ARROZ","ARROZ","ARROZ RIEGO","2.013","2013A","5.740","5.740","40.784","7,11","PADDY VERDE","ORYZA SATIVA","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","CEREALES","ARROZ","ARROZ","ARROZ RIEGO","2.013","2013B","6.744","6.744","47.208","7","PADDY VERDE","ORYZA SATIVA","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","CEREALES","ARROZ","ARROZ","ARROZ RIEGO","2.014","2014A","5.354","5.354","38.449","7,18","PADDY VERDE","ORYZA SATIVA","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","CEREALES","ARROZ","ARROZ","ARROZ RIEGO","2.014","2014B","5.978","5.978","39.658","6,63","PADDY VERDE","ORYZA SATIVA","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","CEREALES","ARROZ","ARROZ","ARROZ RIEGO","2.015","2015A","6.201","6.162","42.150","6,84","PADDY VERDE","ORYZA SATIVA","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","CEREALES","ARROZ","ARROZ","ARROZ RIEGO","2.015","2015B","6.205","6.174","39.752","6,44","PADDY VERDE","ORYZA SATIVA","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","CEREALES","ARROZ","ARROZ","ARROZ RIEGO","2.016","2016A","5.327","5.327","41.691","7,83","PADDY VERDE","ORYZA SATIVA","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","CEREALES","ARROZ","ARROZ","ARROZ RIEGO","2.016","2016B","6.005","6.005","45.079","7,51","PADDY VERDE","ORYZA SATIVA","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","CEREALES","ARROZ","ARROZ","ARROZ RIEGO","2.017","2017A","5.093","5.089","39.183","7,7","PADDY VERDE","ORYZA SATIVA","TRANSITORIO"
"73","TOLIMA","73.268","ESPINAL","CEREALES","ARROZ","ARROZ","ARROZ RIEGO","2.017","2017B","6.545","6.545","50.194","7,67","PADDY VERDE","ORYZA SATIVA","TRANSITORIO"
