"Código Dane departamento","Departamento","Código Dane municipio","Municipio","Grupo cultivo","Subgrupo","Cultivo","Desagregación cultivo","Año","Periodo","Área sembrada","Área cosechada","Producción","Rendimiento","Ciclo del cultivo","Estado físico del cultivo","Código del cultivo","Nombre científico del cultivo"
"73","Tolima","73268","Espinal","Cultivos para condimentos, bebidas medicinales y aromáticas","Aromáticas","Albahaca","Albahaca","2019","2019A","90,00","90,00","270,00","3,00","Permanente","En fresco","2020200","Ocimun basilicum L."
"73","Tolima","73268","Espinal","Cultivos para condimentos, bebidas medicinales y aromáticas","Aromáticas","Albahaca","Albahaca","2019","2019B","90,00","90,00","270,00","3,00","Permanente","En fresco","2020200","Ocimun basilicum L."
"73","Tolima","73268","Espinal","Cultivos para condimentos, bebidas medicinales y aromáticas","Aromáticas","Albahaca","Albahaca","2020","2020B","90,00","90,00","270,00","3,00","Permanente","En fresco","2020200","Ocimun basilicum L."
"73","Tolima","73268","Espinal","Cultivos para condimentos, bebidas medicinales y aromáticas","Aromáticas","Albahaca","Albahaca","2021","2021","100,00","90,00","270,00","3,00","Permanente","En fresco","2020200","Ocimun basilicum L."
"73","Tolima","73268","Espinal","Cultivos para condimentos, bebidas medicinales y aromáticas","Aromáticas","Albahaca","Albahaca","2022","2022","110,00","100,00","300,00","3,00","Permanente","En fresco","2020200","Ocimun basilicum L."
"73","Tolima","73268","Espinal","Cultivos para condimentos, bebidas medicinales y aromáticas","Aromáticas","Albahaca","Albahaca","2023","2023","110,00","110,00","330,00","3,00","Permanente","En fresco","2020200","Ocimun basilicum L."
"73","Tolima","73268","Espinal","Cultivos para condimentos, bebidas medicinales y aromáticas","Aromáticas","Albahaca","Albahaca","2024","2024","35,00","35,00","105,00","3,00","Permanente","En fresco","2020200","Ocimun basilicum L."
"73","Tolima","73268","Espinal","Cultivos para condimentos, bebidas medicinales y aromáticas","Aromáticas","Albahaca","Albahaca","2025","2025","35,00","35,00","122,50","3,50","Permanente","En fresco","2020200","Ocimun basilicum L."
"73","Tolima","73268","Espinal","Cultivos tropicales tradicionales","Cultivos tropicales tradicionales","Algodón","Algodón","2019","2019A","1.907,00","1.907,00","2.097,00","1,10","Transitorio","Algodón semilla","1030100","Gossypium sp."
"73","Tolima","73268","Espinal","Cultivos tropicales tradicionales","Cultivos tropicales tradicionales","Algodón","Algodón","2020","2020A","600,00","600,00","660,00","1,10","Transitorio","Algodón semilla","1030100","Gossypium sp."
"73","Tolima","73268","Espinal","Cultivos tropicales tradicionales","Cultivos tropicales tradicionales","Algodón","Algodón","2021","2021A","769,00","769,00","1.986,17","2,58","Transitorio","Algodón semilla","1030100","Gossypium sp."
"73","Tolima","73268","Espinal","Cultivos tropicales tradicionales","Cultivos tropicales tradicionales","Algodón","Algodón","2022","2022A","562,00","562,00","1.451,53","2,58","Transitorio","Algodón semilla","1030100","Gossypium sp."
"73","Tolima","73268","Espinal","Cultivos tropicales tradicionales","Cultivos tropicales tradicionales","Algodón","Algodón","2023","2023A","592,00","592,00","1.529,02","2,58","Transitorio","Algodón semilla","1030100","Gossypium sp."
"73","Tolima","73268","Espinal","Cultivos tropicales tradicionales","Cultivos tropicales tradicionales","Algodón","Algodón","2024","2024A","798,00","798,00","2.061,07","2,58","Transitorio","Algodón semilla","1030100","Gossypium sp."
"73","Tolima","73268","Espinal","Cultivos tropicales tradicionales","Cultivos tropicales tradicionales","Algodón","Algodón","2025","2025A","562,00","0,00","0,00","0,00","Transitorio","Algodón semilla","1030100","Gossypium sp."
"73","Tolima","73268","Espinal","Cereales","Cereales","Arroz","Arroz riego","2019","2019A","4.859,50","4.859,50","36.638,00","7,54","Transitorio","Paddy o cascara verde","1010101","Oryza sativa"
"73","Tolima","73268","Espinal","Cereales","Cereales","Arroz","Arroz riego","2019","2019B","5.756,10","5.756,10","44.227,80","7,68","Transitorio","Paddy o cascara verde","1010101","Oryza sativa"
"73","Tolima","73268","Espinal","Cereales","Cereales","Arroz","Arroz riego","2020","2020A","5.451,00","5.451,00","41.111,00","7,54","Transitorio","Paddy o cascara verde","1010101","Oryza sativa"
"73","Tolima","73268","Espinal","Cereales","Cereales","Arroz","Arroz riego","2020","2020B","6.381,00","6.381,00","49.100,00","7,69","Transitorio","Paddy o cascara verde","1010101","Oryza sativa"
"73","Tolima","73268","Espinal","Cereales","Cereales","Arroz","Arroz riego","2021","2021A","5.062,00","5.062,00","37.965,00","7,50","Transitorio","Paddy o cascara verde","1010101","Oryza sativa"
"73","Tolima","73268","Espinal","Cereales","Cereales","Arroz","Arroz riego","2021","2021B","3.073,11","3.073,11","24.969,02","8,13","Transitorio","Paddy o cascara verde","1010101","Oryza sativa"
"73","Tolima","73268","Espinal","Cereales","Cereales","Arroz","Arroz riego","2022","2022A","5.062,00","5.062,00","37.965,00","7,50","Transitorio","Paddy o cascara verde","1010101","Oryza sativa"
"73","Tolima","73268","Espinal","Cereales","Cereales","Arroz","Arroz riego","2022","2022B","3.073,00","3.073,00","22.432,90","7,30","Transitorio","Paddy o cascara verde","1010101","Oryza sativa"
"73","Tolima","73268","Espinal","Cereales","Cereales","Arroz","Arroz riego","2023","2023A","7.200,00","7.200,00","54.000,00","7,50","Transitorio","Paddy o cascara verde","1010101","Oryza sativa"
"73","Tolima","73268","Espinal","Cereales","Cereales","Arroz","Arroz riego","2023","2023B","524,68","524,68","3.777,70","7,20","Transitorio","Paddy o cascara verde","1010101","Oryza sativa"
"73","Tolima","73268","Espinal","Cereales","Cereales","Arroz","Arroz riego","2024","2024A","3.683,00","3.683,00","22.098,00","6,00","Transitorio","Paddy o cascara verde","1010101","Oryza sativa"
"73","Tolima","73268","Espinal","Cereales","Cereales","Arroz","Arroz riego","2024","2024B","2.683,00","2.683,00","19.317,60","7,20","Transitorio","Paddy o cascara verde","1010101","Oryza sativa"
"73","Tolima","73268","Espinal","Cereales","Cereales","Arroz","Arroz riego","2025","2025A","7.612,00","7.612,00","53.284,00","7,00","Transitorio","Paddy o cascara verde","1010101","Oryza sativa"
"73","Tolima","73268","Espinal","Cereales","Cereales","Arroz","Arroz riego","2025","2025B","5.350,57","5.350,57","38.524,10","7,20","Transitorio","Paddy o cascara verde","1010101","Oryza sativa"
"73","Tolima","73268","Espinal","Frutales","Demás frutales","Banano","Banano consumo interno","2019","2019","30,00","30,00","180,00","6,00","Permanente","En fresco","2040902","Musa acuminata"
"73","Tolima","73268","Espinal","Cultivos tropicales tradicionales","Cultivos tropicales tradicionales","Cacao","Cacao","2019","2019","50,00","30,00","24,00","0,80","Permanente","Grano seco","2030200","Theobrama cacao"
"73","Tolima","73268","Espinal","Cultivos tropicales tradicionales","Cultivos tropicales tradicionales","Cacao","Cacao","2020","2020","50,00","30,00","24,00","0,80","Permanente","Grano seco","2030200","Theobrama cacao"
"73","Tolima","73268","Espinal","Cultivos tropicales tradicionales","Cultivos tropicales tradicionales","Cacao","Cacao","2021","2021","60,00","50,00","30,00","0,60","Permanente","Grano seco","2030200","Theobrama cacao"
"73","Tolima","73268","Espinal","Cultivos tropicales tradicionales","Cultivos tropicales tradicionales","Cacao","Cacao","2022","2022","75,00","60,00","36,00","0,60","Permanente","Grano seco","2030200","Theobrama cacao"
"73","Tolima","73268","Espinal","Cultivos tropicales tradicionales","Cultivos tropicales tradicionales","Cacao","Cacao","2023","2023","100,00","60,00","36,00","0,60","Permanente","Grano seco","2030200","Theobrama cacao"
"73","Tolima","73268","Espinal","Cultivos tropicales tradicionales","Cultivos tropicales tradicionales","Cacao","Cacao","2024","2024","120,00","75,00","45,00","0,60","Permanente","Grano seco","2030200","Theobrama cacao"
"73","Tolima","73268","Espinal","Cultivos tropicales tradicionales","Cultivos tropicales tradicionales","Cacao","Cacao","2025","2025","120,00","100,00","60,00","0,60","Permanente","Grano seco","2030200","Theobrama cacao"
"73","Tolima","73268","Espinal","Frutales","Mirtáceas","Guayaba","Guayaba","2019","2019","20,00","20,00","240,00","12,00","Permanente","En fresco","2043000","Psidium guajava"
"73","Tolima","73268","Espinal","Frutales","Mirtáceas","Guayaba","Guayaba","2020","2020","30,00","30,00","360,00","12,00","Permanente","En fresco","2043000","Psidium guajava"
"73","Tolima","73268","Espinal","Frutales","Mirtáceas","Guayaba","Guayaba","2021","2021","30,00","30,00","360,00","12,00","Permanente","En fresco","2043000","Psidium guajava"
"73","Tolima","73268","Espinal","Frutales","Mirtáceas","Guayaba","Guayaba","2022","2022","30,00","30,00","360,00","12,00","Permanente","En fresco","2043000","Psidium guajava"
"73","Tolima","73268","Espinal","Frutales","Mirtáceas","Guayaba","Guayaba","2023","2023","30,00","30,00","360,00","12,00","Permanente","En fresco","2043000","Psidium guajava"
"73","Tolima","73268","Espinal","Frutales","Mirtáceas","Guayaba","Guayaba","2024","2024","60,00","30,00","360,00","12,00","Permanente","En fresco","2043000","Psidium guajava"
"73","Tolima","73268","Espinal","Frutales","Mirtáceas","Guayaba","Guayaba","2025","2025","70,00","60,00","780,00","13,00","Permanente","En fresco","2043000","Psidium guajava"
"73","Tolima","73268","Espinal","Oleaginosas","Oleaginosas","Higuerilla","Higuerilla","2019","2019","82,00","82,00","328,00","4,00","Permanente","En fresco","2070200","Ricinus communis"
"73","Tolima","73268","Espinal","Oleaginosas","Oleaginosas","Higuerilla","Higuerilla","2020","2020","82,00","82,00","328,00","4,00","Permanente","En fresco","2070200","Ricinus communis"
"73","Tolima","73268","Espinal","Frutales","Cítricos","Limón","Limón demás variedades","2019","2019","250,00","240,00","4.800,00","20,00","Permanente","En fresco","2043699","Citrus limon"
"73","Tolima","73268","Espinal","Frutales","Cítricos","Limón","Limón demás variedades","2020","2020","260,00","260,00","5.200,00","20,00","Permanente","En fresco","2043699","Citrus limon"
"73","Tolima","73268","Espinal","Frutales","Cítricos","Limón","Limón demás variedades","2021","2021","280,00","260,00","5.200,00","20,00","Permanente","En fresco","2043699","Citrus limon"
