CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1965-01-01 00:00,mm,38.1,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1965-02-01 00:00,mm,67.9,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1965-03-01 00:00,mm,155.4,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1965-07-01 00:00,mm,2.7,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1966-02-01 00:00,mm,47.1,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1966-03-01 00:00,mm,71.6,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1966-04-01 00:00,mm,112.9,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1966-08-01 00:00,mm,15,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1966-09-01 00:00,mm,117,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1966-10-01 00:00,mm,214.9,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1966-11-01 00:00,mm,132,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1967-05-01 00:00,mm,108.9,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1967-06-01 00:00,mm,24.3,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1967-07-01 00:00,mm,31.3,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1967-08-01 00:00,mm,3.7,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1967-09-01 00:00,mm,19.7,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1967-10-01 00:00,mm,111,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1967-11-01 00:00,mm,81,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1968-03-01 00:00,mm,167.8,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1968-04-01 00:00,mm,210.5,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1968-05-01 00:00,mm,37.2,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1968-06-01 00:00,mm,233.5,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1968-07-01 00:00,mm,21.5,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1968-08-01 00:00,mm,38.2,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1968-09-01 00:00,mm,230.2,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1968-10-01 00:00,mm,263.6,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1968-11-01 00:00,mm,82.1,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1968-12-01 00:00,mm,37.4,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1969-01-01 00:00,mm,41.1,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1969-02-01 00:00,mm,36.1,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1969-03-01 00:00,mm,228.6,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1969-04-01 00:00,mm,228.8,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1969-05-01 00:00,mm,170.4,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1969-06-01 00:00,mm,109.8,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1969-07-01 00:00,mm,26.5,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1969-08-01 00:00,mm,63.5,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1969-09-01 00:00,mm,123.5,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1969-10-01 00:00,mm,263.5,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1969-11-01 00:00,mm,222.4,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1969-12-01 00:00,mm,62.6,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1970-01-01 00:00,mm,71.6,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1970-02-01 00:00,mm,42.3,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1970-03-01 00:00,mm,37.1,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1970-04-01 00:00,mm,269,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1970-05-01 00:00,mm,133,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1970-06-01 00:00,mm,137.7,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1970-07-01 00:00,mm,77.3,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1970-08-01 00:00,mm,95.7,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1970-09-01 00:00,mm,59.7,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1970-10-01 00:00,mm,183,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1970-11-01 00:00,mm,101,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1970-12-01 00:00,mm,67,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1971-01-01 00:00,mm,62.1,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1971-02-01 00:00,mm,83.8,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1971-03-01 00:00,mm,187.5,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1971-04-01 00:00,mm,94.9,Definitivo
